	Sample Name	MBSWPE1015-A (MCB A)	MBIAPE1015-B 10/06/2015	MBSWPE1015-B 10/06/2015	MBIAPE1015-C 10/06/2015	MBIAPE1015-C-Dup 10/06/2015	MBSWPE1015-C 10/06/2015	MBIAPE1015-D 10/06/2015	MBSWPE1015-D 10/06/2015	MBIAPE1015-E 10/06/2015	MBSWPE1015-E 10/06/2015	MBSWPE1015-E-Dup 10/06/2015	MBIAPE1015-G 10/06/2015	MBSWPE1015-G 10/06/2015	MBIAPE1015-H 10/06/2015	MBSWPE1015-H 10/06/2015	MBIAPE1015-I 10/06/2015	MBSWPE1015-I 10/06/2015	MBIAPE1015-J 10/06/2015	MBSWPE1015-J 10/06/2015	MBIAPE1015-K 10/06/2015	MBSWPE1015-K 10/06/2015	MBIAPE1015-L 10/06/2015	MBSWPE1015-L 10/06/2015	MBSAPE1015-5 10/06/2015	MBIAPE1015-5 10/06/2015	MBSWPE1015-5 10/06/2015	MBSAPE1015-12 10/06/2015	MBIAPE1015-12 10/06/2015	MBSWPE1015-12 10/06/2015	MBSAPE1015-13 10/06/2015	MBIAPE1015-13 10/06/2015	MBSWPE1015-F 10/06/2015	MBSAPE1015-16 10/06/2015	MBIAPE1015-16 10/06/2015	MBSWPE1015-16 10/06/2015	MBSWPE1015-1 (MCB 1)	MBSWPE1015-27 (MCB 27)
	Sample #	A150525	A150529	A150527	A150533	A150534	A150531	A150539	A150537	A150545	A150541	A150542	A150551	A150549	A150555	A150553	A150559	A150557	A150563	A150561	A150567	A150565	A150571	A150569	A150575	A150574	A150573	A150578	A150577	A150576	A150580	A150579	A150547	A150583	A150582	A150581	A150584	A150586
	Location	MCB A	MCB B	MCB B	MCB C	MCB C	MCB C	MCB D	MCB D	MCB E	MCB E	MCB E	MCB G	MCB G	MCB H	MCB H	MCB I	MCB I	MCB J	MCB J	MCB K	MCB K	MCB L	MCB L	MCB 5	MCB 5	MCB 5	MCB 12	MCB 12	MCB 12-SW	MCB 13	MCB 13	MCB 13-SW	MCB 16	MCB 16	MCB 16	MCB 1	MCB 27
Naphthalene	ng/L	#VALUE!	3.84	0.64	10.28	9.52	90.62	#VALUE!	0.23	#VALUE!	#VALUE!	0.50	#VALUE!	0.62	#VALUE!	0.75	#VALUE!	#VALUE!	#VALUE!	0.16	#VALUE!	#VALUE!	#VALUE!	5.31	5.24	2.91	32.96	58.29	29.95	0.70	#VALUE!	#VALUE!	1.08	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!
Benzo (j) fluoranthene	ng/L	0.070677828	0.078921899	0.06677028	#VALUE!	#VALUE!	0.054115714	#VALUE!	0.058460449	#VALUE!	0.038470117	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.030398964	#VALUE!	0.032937341	#VALUE!	0.063004586	#VALUE!	0.045099689	#VALUE!	0.060831799	#VALUE!	#VALUE!	0.068016241	0.411602333	0.105427678	0.072888721	#VALUE!	#VALUE!	0.031345209	#VALUE!	#VALUE!	0.050469833	#VALUE!	0.058397559
Benzo (e) pyrene	ng/L	0.122541108	0.148867591	0.115089764	#VALUE!	#VALUE!	0.092692875	#VALUE!	0.114671562	#VALUE!	0.079283433	0.069862131	#VALUE!	0.066384304	#VALUE!	0.063489189	#VALUE!	0.065454739	#VALUE!	0.112191729	#VALUE!	0.090184849	#VALUE!	0.110886517	#VALUE!	#VALUE!	0.120337385	0.61818471	0.158442204	0.135083243	#VALUE!	#VALUE!	0.056696601	#VALUE!	#VALUE!	0.097832832	0.090324772	0.116108832
Benzo (a) pyrene	ng/L	#VALUE!	#VALUE!	0.045397484	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.06580398	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.055161148	#VALUE!	#VALUE!	#VALUE!	0.052469146	#VALUE!	#VALUE!	#VALUE!	0.430482609	#VALUE!	0.071427708	#VALUE!	#VALUE!	0.029652328	#VALUE!	#VALUE!	0.050362236	#VALUE!	#VALUE!
"Indeno (1,2,3-c,d) pyrene"	ng/L	0.041609291	#VALUE!	0.028830359	#VALUE!	#VALUE!	0.026663868	#VALUE!	0.036126987	#VALUE!	0.031827024	0.030184884	#VALUE!	0.026707778	#VALUE!	0.02166406	0.145365431	0.02535087	#VALUE!	0.032732335	#VALUE!	0.02621551	#VALUE!	0.030654408	#VALUE!	#VALUE!	0.037397217	0.167740522	#VALUE!	0.039304426	#VALUE!	#VALUE!	0.016368762	#VALUE!	#VALUE!	0.024891742	0.046055527	0.0445503
"Dibenzo (a,h) anthracene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
Benzo (a) chrysene	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Benzo (g,h,i) perylene"	ng/L	0.056141462	0.041511715	0.040208485	#VALUE!	#VALUE!	0.039379024	#VALUE!	0.052201083	#VALUE!	0.040730541	0.040687921	#VALUE!	0.035525796	#VALUE!	0.031086289	0.176978745	0.035135723	#VALUE!	0.049941502	#VALUE!	0.040203426	#VALUE!	0.044069009	#VALUE!	#VALUE!	0.056663057	0.200135104	0.052889626	0.058362006	#VALUE!	#VALUE!	0.021606816	0.162272213	#VALUE!	0.041600447	0.050696729	0.05367741
Anthanthrene	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Naphtho(1,2-b)fluoranthene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Naphtho(2,3-j)fluoranthene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo (a,e) fluoranthene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo (a,l) pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Naphtho(2,3-k)fluoranthene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Naphtho(2,3-e)pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo (a,e) pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
Coronene	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo(e,l)pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Naphtho(2,3-a)pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
Benzo (b) perylene	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo (a,i) pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
"Dibenzo (a,h) pyrene"	ng/L	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
sum		#NAME?																																				
